ds,y
12/4/16,15
12/11/16,26
12/18/16,37
12/25/16,46
1/1/17,46
1/8/17,33
1/15/17,25
1/22/17,24
1/29/17,53
2/5/17,20
2/12/17,28
2/19/17,26
2/26/17,22
3/5/17,44
3/12/17,73
3/19/17,33
3/26/17,22
4/2/17,19
4/9/17,17
4/16/17,23
4/23/17,20
4/30/17,23
5/7/17,21
5/14/17,13
5/21/17,21
5/28/17,16
6/4/17,23
6/11/17,11
6/18/17,19
6/25/17,28
7/2/17,17
7/9/17,19
7/16/17,24
7/23/17,36
7/30/17,24
8/6/17,23
8/13/17,6
8/20/17,25
8/27/17,13
9/3/17,14
9/10/17,29
9/17/17,17
9/24/17,14
10/1/17,16
10/8/17,31
10/15/17,36
10/22/17,14
10/29/17,30
11/5/17,22
11/12/17,34
11/19/17,19
11/26/17,27
12/3/17,24
12/10/17,32
12/17/17,51
12/24/17,46
12/31/17,29
1/7/18,37
1/14/18,24
1/21/18,20
1/28/18,20
2/4/18,41
2/11/18,35
2/18/18,20
2/25/18,36
3/4/18,28
3/11/18,86
3/18/18,47
3/25/18,17
4/1/18,26
4/8/18,25
4/15/18,18
4/22/18,36
4/29/18,10
5/6/18,12
5/13/18,9
5/20/18,15
5/27/18,19
6/3/18,13
6/10/18,25
6/17/18,17
6/24/18,21
7/1/18,6
7/8/18,19
7/15/18,15
7/22/18,26
7/29/18,20
8/5/18,13
8/12/18,25
8/19/18,14
8/26/18,30
9/2/18,9
9/9/18,26
9/16/18,30
9/23/18,28
9/30/18,26
10/7/18,36
10/14/18,30
10/21/18,31
10/28/18,23
11/4/18,27
11/11/18,25
11/18/18,27
11/25/18,17
12/2/18,39
12/9/18,33
12/16/18,29
12/23/18,60
12/30/18,35
1/6/19,27
1/13/19,45
1/20/19,26
1/27/19,27
2/3/19,20
2/10/19,37
2/17/19,25
2/24/19,25
3/3/19,39
3/10/19,52
3/17/19,52
3/24/19,24
3/31/19,24
4/7/19,32
4/14/19,15
4/21/19,25
4/28/19,7
5/5/19,25
5/12/19,25
5/19/19,26
5/26/19,15
6/2/19,20
6/9/19,18
6/16/19,18
6/23/19,11
6/30/19,28
7/7/19,17
7/14/19,21
7/21/19,27
7/28/19,17
8/4/19,21
8/11/19,30
8/18/19,24
8/25/19,29
9/1/19,22
9/8/19,21
9/15/19,20
9/22/19,27
9/29/19,34
10/6/19,40
10/13/19,27
10/20/19,29
10/27/19,30
11/3/19,24
11/10/19,32
11/17/19,34
11/24/19,36
12/1/19,22
12/8/19,37
12/15/19,23
12/22/19,64
12/29/19,41
1/5/20,41
1/12/20,24
1/19/20,33
1/26/20,22
2/2/20,23
2/9/20,28
2/16/20,22
2/23/20,21
3/1/20,40
3/8/20,41
3/15/20,68
3/22/20,40
3/29/20,29
4/5/20,45
4/12/20,22
4/19/20,30
4/26/20,36
5/3/20,21
5/10/20,34
5/17/20,23
5/24/20,35
5/31/20,19
6/7/20,18
6/14/20,31
6/21/20,28
6/28/20,22
7/5/20,19
7/12/20,19
7/19/20,27
7/26/20,16
8/2/20,23
8/9/20,32
8/16/20,27
8/23/20,20
8/30/20,19
9/6/20,26
9/13/20,23
9/20/20,36
9/27/20,24
10/4/20,31
10/11/20,29
10/18/20,39
10/25/20,34
11/1/20,21
11/8/20,31
11/15/20,40
11/22/20,17
11/29/20,29
12/6/20,30
12/13/20,40
12/20/20,68
12/27/20,48
1/3/21,34
1/10/21,47
1/17/21,39
1/24/21,37
1/31/21,45
2/7/21,42
2/14/21,37
2/21/21,38
2/28/21,43
3/7/21,48
3/14/21,100
3/21/21,27
3/28/21,22
4/4/21,10
4/11/21,32
4/18/21,17
4/25/21,25
5/2/21,20
5/9/21,16
5/16/21,22
5/23/21,18
5/30/21,26
6/6/21,38
6/13/21,23
6/20/21,11
6/27/21,15
7/4/21,17
7/11/21,18
7/18/21,17
7/25/21,17
8/1/21,28
8/8/21,15
8/15/21,20
8/22/21,28
8/29/21,17
9/5/21,24
9/12/21,40
9/19/21,19
9/26/21,29
10/3/21,26
10/10/21,26
10/17/21,24
10/24/21,28
10/31/21,26
11/7/21,31
11/14/21,31
11/21/21,15
11/28/21,12